Year,Month,Day,Hour,Actual,Predict
18,1,1,0,1064.16,1064.0391173389175
18,1,1,1,1080.72,1080.7323471092002
18,1,1,2,1097.64,1097.8999647229268
18,1,1,3,1018.08,1018.5034382035224
18,1,1,4,1091.16,1091.1455998172512
18,1,1,5,999.72,999.6407158937196
18,1,1,6,1033.2,1033.2684568371822
18,1,1,7,1040.4,1040.3898520068817
18,1,1,8,1090.44,1090.4392295515556
18,1,1,9,1138.32,1138.2030672870478
18,1,1,10,1100.88,1100.8918710929186
18,1,1,11,1046.52,1046.3249539535252
18,1,1,12,1120.32,1119.951401211982
18,1,1,13,1011.96,1012.0507936786636
18,1,1,14,1119.24,1119.2900091558497
18,1,1,15,1040.04,1040.0647802375754
18,1,1,16,1153.08,1153.1724641529584
18,1,1,17,1104.12,1103.7251647592982
18,1,1,18,1120.32,1119.9409893210845
18,1,1,19,1148.4,1148.4607441365933
18,1,1,20,1140.84,1140.8904563593314
18,1,1,21,1137.96,1137.9818757475912
18,1,1,22,1235.16,1235.404911771208
18,1,1,23,1222.2,1221.7312821496375
18,1,2,0,1236.96,1236.7651910335162
18,1,2,1,1198.44,1198.9543375035903
18,1,2,2,1159.92,1159.536503695934
18,1,2,3,1074.24,1074.1740106356694
18,1,2,4,1086.84,1086.7578160018322
18,1,2,5,1021.32,1021.1254729670353
18,1,2,6,1114.2,1114.3094044148108
18,1,2,7,1268.64,1268.6190495291362
18,1,2,8,1362.24,1362.2545193820856
18,1,2,9,1484.28,1483.4886676246442
18,1,2,10,1557.72,1557.029271705951
18,1,2,11,1670.76,1673.6972729374288
18,1,2,12,1699.56,1700.3546027024338
18,1,2,13,1627.92,1628.1740746970108
18,1,2,14,1636.2,1635.9973249954076
18,1,2,15,1652.4,1652.0582426398764
18,1,2,16,1566.36,1565.583369409544
18,1,2,17,1578.96,1579.3738933648617
18,1,2,18,1630.08,1629.5852632657468
18,1,2,19,1564.92,1565.1556791328878
18,1,2,20,1497.96,1497.805702619747
18,1,2,21,1492.56,1492.076667103789
18,1,2,22,1526.4,1526.3506098872347
18,1,2,23,1374.48,1374.227438025314
18,1,3,0,1312.2,1311.7529073191554
18,1,3,1,1296.36,1296.4023889745376
18,1,3,2,1230.84,1230.9549867348649
18,1,3,3,1125.36,1125.2033764116366
18,1,3,4,1170.36,1170.3609484811996
18,1,3,5,1077.48,1077.5736331572025
18,1,3,6,1165.68,1165.6799903915385
18,1,3,7,1323.0,1322.9137766959623
18,1,3,8,1393.92,1393.836820640445
18,1,3,9,1514.88,1514.9339780659338
18,1,3,10,1587.24,1587.7828081684859
18,1,3,11,1723.32,1723.9997095539984
18,1,3,12,1717.92,1718.8128693062756
18,1,3,13,1647.0,1644.78515723899
18,1,3,14,1641.24,1644.78515723899
18,1,3,15,1652.04,1652.3989599658219
18,1,3,16,1676.16,1673.747923476912
18,1,3,17,1703.16,1706.1374595904879
18,1,3,18,1715.4,1712.6644413201684
18,1,3,19,1579.32,1579.4095904375338
18,1,3,20,1550.52,1549.0718256490027
18,1,3,21,1509.48,1508.8691104647007
18,1,3,22,1479.6,1479.8222649056559
18,1,3,23,1400.04,1400.333999631655
18,1,4,0,1330.92,1330.8296573334324
18,1,4,1,1289.16,1289.1645212273663
18,1,4,2,1249.92,1249.842183497088
18,1,4,3,1134.36,1134.8456217844293
18,1,4,4,1141.92,1141.772157529634
18,1,4,5,1087.2,1087.2566116259416
18,1,4,6,1214.28,1214.3404561263258
18,1,4,7,1313.64,1313.5101628662167
18,1,4,8,1461.6,1461.7424239948366
18,1,4,9,1563.12,1563.2730613349568
18,1,4,10,1603.8,1605.15264509519
18,1,4,11,1688.76,1687.828453849065
18,1,4,12,1696.68,1699.6682469281513
18,1,4,13,1665.0,1666.2983849366715
18,1,4,14,1659.24,1659.7407972314477
18,1,4,15,1609.2,1605.3120798534082
18,1,4,16,1654.56,1652.2941281957117
18,1,4,17,1681.92,1680.4002153905842
18,1,4,18,1650.96,1652.2570115522701
18,1,4,19,1508.04,1507.980532358312
18,1,4,20,1485.0,1484.915452621711
18,1,4,21,1463.4,1463.3247404713456
18,1,4,22,1420.2,1420.3421701521042
18,1,4,23,1320.84,1320.8579606404828
18,1,5,0,1302.48,1302.6191103931646
18,1,5,1,1270.8,1271.1568011407
18,1,5,2,1253.52,1253.402925239737
18,1,5,3,1162.08,1162.0190788537896
18,1,5,4,1101.6,1101.596528593799
18,1,5,5,1104.12,1103.741885379822
18,1,5,6,1133.64,1133.6424607685794
18,1,5,7,1311.12,1311.1245290034744
18,1,5,8,1448.64,1448.4652679521525
18,1,5,9,1572.48,1572.569759254505
18,1,5,10,1635.12,1635.4166359804738
