Year,Month,Day,Hour,Actual,Predict
18,1,1,0,1064.16,1064.08498181723
18,1,1,1,1080.72,1080.716887217009
18,1,1,2,1097.64,1097.002341952865
18,1,1,3,1018.08,1016.9611162513781
18,1,1,4,1091.16,1091.820929432694
18,1,1,5,999.72,998.8794996605973
18,1,1,6,1033.2,1033.248348264235
18,1,1,7,1040.4,1038.9750799117987
18,1,1,8,1090.44,1091.9212866267112
18,1,1,9,1138.32,1137.124586731455
18,1,1,10,1100.88,1099.650161976101
18,1,1,11,1046.52,1047.361804547143
18,1,1,12,1120.32,1120.4645975831736
18,1,1,13,1011.96,1011.4144971222593
18,1,1,14,1119.24,1120.4597927100729
18,1,1,15,1040.04,1038.9559220484896
18,1,1,16,1153.08,1151.8799116971684
18,1,1,17,1104.12,1105.5284799977028
18,1,1,18,1120.32,1120.4659317204294
18,1,1,19,1148.4,1148.7549694033669
18,1,1,20,1140.84,1139.8872520169755
18,1,1,21,1137.96,1137.096886497758
18,1,1,22,1235.16,1235.6041687718923
18,1,1,23,1222.2,1222.5202818277628
18,1,2,0,1236.96,1235.6085890355857
18,1,2,1,1198.44,1196.8147035503248
18,1,2,2,1159.92,1161.587934714355
18,1,2,3,1074.24,1075.732131547705
18,1,2,4,1086.84,1086.328156131512
18,1,2,5,1021.32,1022.6508915799596
18,1,2,6,1114.2,1115.01725341866
18,1,2,7,1268.64,1267.6758268324154
18,1,2,8,1362.24,1360.6220421346227
18,1,2,9,1484.28,1483.6366191299567
18,1,2,10,1557.72,1553.5035331628665
18,1,2,11,1670.76,1668.9911077135448
18,1,2,12,1699.56,1693.9053169387885
18,1,2,13,1627.92,1630.4409833051784
18,1,2,14,1636.2,1630.1056530353742
18,1,2,15,1652.4,1655.513702179769
18,1,2,16,1566.36,1569.1566456691596
18,1,2,17,1578.96,1576.749496939221
18,1,2,18,1630.08,1630.4165128652169
18,1,2,19,1564.92,1561.534187094864
18,1,2,20,1497.96,1497.1818896264915
18,1,2,21,1492.56,1490.830205978251
18,1,2,22,1526.4,1523.1567862886488
18,1,2,23,1374.48,1376.9202771223963
18,1,3,0,1312.2,1312.2517663233004
18,1,3,1,1296.36,1295.6666728122864
18,1,3,2,1230.84,1232.2142056683895
18,1,3,3,1125.36,1125.6807258830206
18,1,3,4,1170.36,1171.1030617788874
18,1,3,5,1077.48,1078.2971261515486
18,1,3,6,1165.68,1164.7735988392587
18,1,3,7,1323.0,1323.0102106105662
18,1,3,8,1393.92,1393.2935401269162
18,1,3,9,1514.88,1515.0983493167028
18,1,3,10,1587.24,1586.5859905038583
18,1,3,11,1723.32,1727.2932239349698
18,1,3,12,1717.92,1711.1069140447048
18,1,3,13,1647.0,1642.7208334621293
18,1,3,14,1641.24,1641.526005157918
18,1,3,15,1652.04,1657.9925760002943
18,1,3,16,1676.16,1667.783940843656
18,1,3,17,1703.16,1695.4597437497055
18,1,3,18,1715.4,1709.7445548118346
18,1,3,19,1579.32,1575.9170119228706
18,1,3,20,1550.52,1552.9674452478662
18,1,3,21,1509.48,1509.2053997151852
18,1,3,22,1479.6,1478.077553899274
18,1,3,23,1400.04,1397.7555891186478
18,1,4,0,1330.92,1331.909277220066
18,1,4,1,1289.16,1287.8373200306353
18,1,4,2,1249.92,1249.2486770944502
18,1,4,3,1134.36,1134.2304232804238
18,1,4,4,1141.92,1142.4543219687419
18,1,4,5,1087.2,1086.326005472885
18,1,4,6,1214.28,1212.2917057842926
18,1,4,7,1313.64,1312.2633794991677
18,1,4,8,1461.6,1460.4860889164388
18,1,4,9,1563.12,1561.4298304316444
18,1,4,10,1603.8,1598.5055715486424
18,1,4,11,1688.76,1684.0133298440041
18,1,4,12,1696.68,1695.8093543571288
18,1,4,13,1665.0,1670.590168385084
18,1,4,14,1659.24,1656.596485950828
18,1,4,15,1609.2,1609.1131515946172
18,1,4,16,1654.56,1656.6843783583804
18,1,4,17,1681.92,1684.6273708776616
18,1,4,18,1650.96,1657.329002054345
18,1,4,19,1508.04,1509.0912304576382
18,1,4,20,1485.0,1483.779010508725
18,1,4,21,1463.4,1465.7814580206316
18,1,4,22,1420.2,1417.9282239623592
18,1,4,23,1320.84,1319.294652191073
18,1,5,0,1302.48,1301.943768397559
18,1,5,1,1270.8,1270.97523454051
18,1,5,2,1253.52,1252.9666157274526
18,1,5,3,1162.08,1161.5076255822619
18,1,5,4,1101.6,1102.5689146870818
18,1,5,5,1104.12,1105.5164820118646
18,1,5,6,1133.64,1134.2300904252193
18,1,5,7,1311.12,1312.285506870583
18,1,5,8,1448.64,1450.4202225401955
18,1,5,9,1572.48,1568.545881543373
18,1,5,10,1635.12,1630.2086201098793
18,1,5,11,1729.08,1724.6520077438083
18,1,5,12,1668.96,1668.3565516721876
18,1,5,13,1667.52,1669.9165445290373
18,1,5,14,1583.64,1576.4934447929604
18,1,5,15,1630.08,1631.5180487434106
18,1,5,16,1586.52,1587.5565344553938
18,1,5,17,1648.8,1641.293560394129
18,1,5,18,1584.0,1586.2855428245507
18,1,5,19,1585.44,1586.2128806210708
18,1,5,20,1418.76,1417.9521751384164
18,1,5,21,1417.32,1418.0657449534056
18,1,5,22,1337.4,1339.0304030398222
18,1,5,23,1283.76,1284.0037285124529
18,1,6,0,1224.72,1225.86283634378
18,1,6,1,1212.84,1212.3594956910117
18,1,6,2,1200.96,1200.0396007891554
18,1,6,3,1118.88,1117.5562283903614
18,1,6,4,1157.4,1158.2082675707004
18,1,6,5,1072.8,1072.7479133192749
18,1,6,6,1104.12,1105.5178010356785
18,1,6,7,1247.4,1249.1792179740044
18,1,6,8,1286.28,1287.6828028429811
18,1,6,9,1312.2,1312.3023748980236
18,1,6,10,1277.28,1277.6073195489553
18,1,6,11,1370.88,1372.6311619736987
18,1,6,12,1400.04,1397.7136665023766
18,1,6,13,1383.48,1385.1091362055079
18,1,6,14,1217.52,1219.0956130093311
18,1,6,15,1162.08,1161.4898490461517
18,1,6,16,1235.16,1235.502957542795
18,1,6,17,1175.76,1174.330308099664
18,1,6,18,1197.36,1196.7196836602607
18,1,6,19,1260.0,1260.2028794610853
18,1,6,20,1231.56,1232.267893992941
18,1,6,21,1252.8,1252.9215273339503
18,1,6,22,1288.08,1287.805798077381
18,1,6,23,1266.12,1267.6774955312446
18,1,7,0,1239.84,1239.2180149840594
18,1,7,1,1270.44,1270.83152327308
18,1,7,2,1184.4,1183.5379973562603
18,1,7,3,1139.76,1139.8048541662854
18,1,7,4,1126.44,1125.5759788122361
18,1,7,5,1135.8,1137.0185525930308
18,1,7,6,1086.12,1086.2951399891472
18,1,7,7,1131.48,1131.5070602995052
18,1,7,8,1147.68,1148.6795311497187
18,1,7,9,1226.52,1225.83644490595
18,1,7,10,1151.28,1151.977244194726
18,1,7,11,1181.52,1181.0107786703336
18,1,7,12,1190.52,1189.8794696756513
18,1,7,13,1132.56,1131.4757262691346
18,1,7,14,1131.48,1131.5054798673739
18,1,7,15,1111.68,1112.1430619682783
18,1,7,16,1155.6,1155.2776166290914
18,1,7,17,1163.16,1161.4901621639801
18,1,7,18,1214.28,1212.2615489945067
18,1,7,19,1168.2,1167.7698762877665
18,1,7,20,1156.32,1155.2589142442778
18,1,7,21,1215.72,1215.796422378047
18,1,7,22,1279.08,1280.8381168445717
18,1,7,23,1253.88,1252.8673030905184
18,1,8,0,1311.48,1312.2266323821577
18,1,8,1,1242.36,1242.2725405935992
18,1,8,2,1188.0,1186.5161633443593
18,1,8,3,1064.52,1063.9989393780852
18,1,8,4,1119.24,1120.4834740596727
18,1,8,5,1035.0,1035.7568286122669
18,1,8,6,1161.72,1161.509427265057
18,1,8,7,1328.76,1327.6728982827794
18,1,8,8,1405.08,1407.734434604858
18,1,8,9,1532.52,1530.095113739274
18,1,8,10,1634.04,1632.5567850863558
18,1,8,11,1731.96,1726.5159344438946
18,1,8,12,1708.56,1710.0771986336485
18,1,8,13,1707.12,1709.167164453071
18,1,8,14,1617.12,1621.076397037547
18,1,8,15,1658.16,1656.450745269689
18,1,8,16,1571.04,1569.15065142699
18,1,8,17,1693.44,1695.062850534904
18,1,8,18,1589.04,1587.9441173887376
18,1,8,19,1504.08,1502.6691942185494
18,1,8,20,1455.84,1456.170598958675
18,1,8,21,1441.08,1438.8158481938117
18,1,8,22,1396.08,1397.560378448498
18,1,8,23,1366.2,1364.949913435142
