Year,Month,Day,Hour,Actual,Predict
18,1,1,0,1064.16,1064.1656250000024
18,1,1,1,1080.72,1080.7256250000007
18,1,1,2,1097.64,1097.6512500000006
18,1,1,3,1018.08,1018.1025000000014
18,1,1,4,1091.16,1091.1459375000024
18,1,1,5,999.72,999.731250000001
18,1,1,6,1033.2,1033.197187499998
18,1,1,7,1040.4,1040.4168749999976
18,1,1,8,1090.44,1090.4681250000015
18,1,1,9,1138.32,1138.3200000000036
18,1,1,10,1100.88,1100.874375000002
18,1,1,11,1046.52,1046.517187500001
18,1,1,12,1120.32,1120.3143750000033
18,1,1,13,1011.96,1011.9740625000028
18,1,1,14,1119.24,1119.2596875000015
18,1,1,15,1040.04,1040.0090624999973
18,1,1,16,1153.08,1153.1025
18,1,1,17,1104.12,1104.119999999998
18,1,1,18,1120.32,1120.3115625000034
18,1,1,19,1148.4,1148.3746874999974
18,1,1,20,1140.84,1140.8596874999973
18,1,1,21,1137.96,1137.951562500002
18,1,1,22,1235.16,1235.2303125000017
18,1,1,23,1222.2,1222.1803125
18,1,2,0,1236.96,1236.9881250000014
18,1,2,1,1198.44,1198.397812500001
18,1,2,2,1159.92,1159.8975
18,1,2,3,1074.24,1074.262500000002
18,1,2,4,1086.84,1086.8371874999978
18,1,2,5,1021.32,1021.3171875000033
18,1,2,6,1114.2,1114.199999999999
18,1,2,7,1268.64,1268.648437500002
18,1,2,8,1362.24,1362.1471875000007
18,1,2,9,1484.28,1484.1506250000011
18,1,2,10,1557.72,1557.8099999999993
18,1,2,11,1670.76,1671.0665625000008
18,1,2,12,1699.56,1699.748437499999
18,1,2,13,1627.92,1627.8553125000024
18,1,2,14,1636.2,1635.688124999999
18,1,2,15,1652.4,1652.4281249999988
18,1,2,16,1566.36,1566.3093749999978
18,1,2,17,1578.96,1578.8390625000013
18,1,2,18,1630.08,1629.9675000000004
18,1,2,19,1564.92,1564.8918750000028
18,1,2,20,1497.96,1497.9487500000002
18,1,2,21,1492.56,1492.5199999999986
18,1,2,22,1526.4,1526.4590624999994
18,1,2,23,1374.48,1374.491250000001
18,1,3,0,1312.2,1312.2000000000003
18,1,3,1,1296.36,1296.3965624999983
18,1,3,2,1230.84,1230.8596874999978
18,1,3,3,1125.36,1125.3796874999991
18,1,3,4,1170.36,1170.3824999999988
18,1,3,5,1077.48,1077.463124999999
18,1,3,6,1165.68,1165.708124999997
18,1,3,7,1323.0,1323.0281250000003
18,1,3,8,1393.92,1393.8018750000003
18,1,3,9,1514.88,1514.8546875000009
18,1,3,10,1587.24,1587.0684375000012
18,1,3,11,1723.32,1723.626562500002
18,1,3,12,1717.92,1717.8159375000023
18,1,3,13,1647.0,1647.1603124999986
18,1,3,14,1641.24,1641.1499999999987
18,1,3,15,1652.04,1652.0596875
18,1,3,16,1676.16,1675.8168749999982
18,1,3,17,1703.16,1702.7915625
18,1,3,18,1715.4,1715.2734374999993
18,1,3,19,1579.32,1579.123125
18,1,3,20,1550.52,1550.5143749999993
18,1,3,21,1509.48,1509.4040625000007
18,1,3,22,1479.6,1479.5859375000023
18,1,3,23,1400.04,1400.0540624999994
18,1,4,0,1330.92,1330.9003125000015
18,1,4,1,1289.16,1289.1600000000017
18,1,4,2,1249.92,1249.928437500001
18,1,4,3,1134.36,1134.351562499999
18,1,4,4,1141.92,1141.9171875
18,1,4,5,1087.2,1087.1859374999988
18,1,4,6,1214.28,1214.2237499999992
18,1,4,7,1313.64,1313.6428125000025
18,1,4,8,1461.6,1461.591562500003
18,1,4,9,1563.12,1563.119999999999
18,1,4,10,1603.8,1603.9996875000008
18,1,4,11,1688.76,1688.6924999999999
18,1,4,12,1696.68,1696.8206249999978
18,1,4,13,1665.0,1664.6540625000007
18,1,4,14,1659.24,1658.801249999999
18,1,4,15,1609.2,1609.2843750000018
18,1,4,16,1654.56,1654.4728124999995
18,1,4,17,1681.92,1681.8018750000015
18,1,4,18,1650.96,1650.813750000001
18,1,4,19,1508.04,1508.056875
18,1,4,20,1485.0,1484.9381250000015
18,1,4,21,1463.4,1463.4196874999975
18,1,4,22,1420.2,1420.1578125000015
18,1,4,23,1320.84,1320.8259374999977
18,1,5,0,1302.48,1302.5025
18,1,5,1,1270.8,1270.9912500000012
18,1,5,2,1253.52,1253.5199999999993
18,1,5,3,1162.08,1162.074375
18,1,5,4,1101.6,1101.6365625000024
18,1,5,5,1104.12,1104.117187499998
18,1,5,6,1133.64,1133.6400000000008
18,1,5,7,1311.12,1311.1396874999978
18,1,5,8,1448.64,1448.611875000003
18,1,5,9,1572.48,1572.4884375000004
18,1,5,10,1635.12,1634.9006250000004
18,1,5,11,1729.08,1728.7396874999993
18,1,5,12,1668.96,1669.080937499999
18,1,5,13,1667.52,1667.7168749999994
