Year,Month,Day,Hour,Actual,Predict
18,1,1,0,1064.16,1063.6577
18,1,1,1,1080.72,1080.3088
18,1,1,2,1097.64,1097.3744
18,1,1,3,1018.08,1018.04083
18,1,1,4,1091.16,1091.2307
18,1,1,5,999.72,999.58636
18,1,1,6,1033.2,1033.5592
18,1,1,7,1040.4,1039.762
18,1,1,8,1090.44,1090.2388
18,1,1,9,1138.32,1138.2877
18,1,1,10,1100.88,1100.8757
18,1,1,11,1046.52,1046.4583
18,1,1,12,1120.32,1120.4059
18,1,1,13,1011.96,1012.0384
18,1,1,14,1119.24,1118.672
18,1,1,15,1040.04,1039.8231
18,1,1,16,1153.08,1152.4263
18,1,1,17,1104.12,1104.0795
18,1,1,18,1120.32,1120.5125
18,1,1,19,1148.4,1147.9796
18,1,1,20,1140.84,1141.06
18,1,1,21,1137.96,1138.4766
18,1,1,22,1235.16,1234.7896
18,1,1,23,1222.2,1222.32
18,1,2,0,1236.96,1236.9781
18,1,2,1,1198.44,1197.7657
18,1,2,2,1159.92,1159.4407
18,1,2,3,1074.24,1075.1193
18,1,2,4,1086.84,1086.4161
18,1,2,5,1021.32,1021.03326
18,1,2,6,1114.2,1114.096
18,1,2,7,1268.64,1268.2098
18,1,2,8,1362.24,1361.1702
18,1,2,9,1484.28,1483.9742
18,1,2,10,1557.72,1556.9451
18,1,2,11,1670.76,1670.1489
18,1,2,12,1699.56,1700.1471
18,1,2,13,1627.92,1627.5284
18,1,2,14,1636.2,1635.9373
18,1,2,15,1652.4,1651.8511
18,1,2,16,1566.36,1566.518
18,1,2,17,1578.96,1579.7694
18,1,2,18,1630.08,1630.2438
18,1,2,19,1564.92,1566.4631
18,1,2,20,1497.96,1498.7457
18,1,2,21,1492.56,1492.0782
18,1,2,22,1526.4,1527.2245
18,1,2,23,1374.48,1373.5385
18,1,3,0,1312.2,1311.7812
18,1,3,1,1296.36,1296.1831
18,1,3,2,1230.84,1231.8267
18,1,3,3,1125.36,1125.2742
18,1,3,4,1170.36,1170.74
18,1,3,5,1077.48,1077.788
18,1,3,6,1165.68,1165.5547
18,1,3,7,1323.0,1322.7164
18,1,3,8,1393.92,1392.8265
18,1,3,9,1514.88,1514.2001
18,1,3,10,1587.24,1588.4711
18,1,3,11,1723.32,1723.716
18,1,3,12,1717.92,1716.8535
18,1,3,13,1647.0,1647.8031
18,1,3,14,1641.24,1641.0154
18,1,3,15,1652.04,1652.15
18,1,3,16,1676.16,1674.8269
18,1,3,17,1703.16,1702.2963
18,1,3,18,1715.4,1714.819
18,1,3,19,1579.32,1580.1039
18,1,3,20,1550.52,1550.5393
18,1,3,21,1509.48,1510.8718
18,1,3,22,1479.6,1479.8063
18,1,3,23,1400.04,1400.1086
18,1,4,0,1330.92,1330.2283
18,1,4,1,1289.16,1288.9764
18,1,4,2,1249.92,1249.18
18,1,4,3,1134.36,1133.9655
