Date,Actual,Predict
2016-04-17 0:00,340,340.0
2016-04-17 1:00,300,300.0
2016-04-17 2:00,330,330.0
2016-04-17 3:00,300,300.0
2016-04-17 4:00,340,340.0
2016-04-17 5:00,290,290.0
2016-04-17 6:00,300,300.0
2016-04-17 7:00,330,330.0
2016-04-17 8:00,350,350.0
2016-04-17 9:00,890,890.234375
2016-04-17 10:00,680,680.0
2016-04-17 11:00,2720,2756.953125
2016-04-17 12:00,790,789.0625
2016-04-17 13:00,640,640.0
2016-04-17 14:00,420,420.0
2016-04-17 15:00,450,450.0
2016-04-17 16:00,600,600.0
2016-04-17 17:00,980,981.328125
2016-04-17 18:00,1470,1469.375
2016-04-17 19:00,700,700.0
2016-04-17 20:00,730,730.9375
2016-04-17 21:00,550,550.0
2016-04-17 22:00,420,420.0
2016-04-17 23:00,320,320.0
2016-04-18 0:00,340,340.0
2016-04-18 1:00,340,340.0
2016-04-18 2:00,410,410.0
2016-04-18 3:00,320,320.0
2016-04-18 4:00,250,250.0
2016-04-18 5:00,320,320.0
2016-04-18 6:00,310,310.0
2016-04-18 7:00,330,330.0
2016-04-18 8:00,290,290.0
2016-04-18 9:00,330,330.0
2016-04-18 10:00,300,300.0
2016-04-18 11:00,290,290.0
2016-04-18 12:00,490,490.0
2016-04-18 13:00,310,310.0
2016-04-18 14:00,300,300.0
2016-04-18 15:00,250,250.0
2016-04-18 16:00,350,350.0
2016-04-18 17:00,440,439.921875
2016-04-18 18:00,1750,1742.8125
2016-04-18 19:00,650,650.078125
2016-04-18 20:00,710,710.15625
2016-04-18 21:00,730,730.625
2016-04-18 22:00,290,290.0
2016-04-18 23:00,270,270.0
2016-04-19 0:00,310,310.0
2016-04-19 1:00,320,320.0
2016-04-19 2:00,230,230.0
2016-04-19 3:00,310,310.0
2016-04-19 4:00,320,320.0
2016-04-19 5:00,310,310.0
2016-04-19 6:00,680,680.15625
2016-04-19 7:00,460,460.0
2016-04-19 8:00,780,782.03125
2016-04-19 9:00,310,310.0
2016-04-19 10:00,300,300.0
2016-04-19 11:00,240,240.0
2016-04-19 12:00,310,310.0
2016-04-19 13:00,310,310.0
2016-04-19 14:00,250,250.0
2016-04-19 15:00,320,320.0
2016-04-19 16:00,290,290.0
2016-04-19 17:00,340,340.0
2016-04-19 18:00,1600,1598.984375
2016-04-19 19:00,700,700.15625
2016-04-19 20:00,680,679.921875
2016-04-19 21:00,500,500.078125
2016-04-19 22:00,330,330.0
2016-04-19 23:00,310,310.0
2016-04-20 0:00,230,230.0
2016-04-20 1:00,330,330.0
2016-04-20 2:00,310,310.0
2016-04-20 3:00,240,240.0
2016-04-20 4:00,310,310.0
2016-04-20 5:00,320,320.0
2016-04-20 6:00,280,280.0
2016-04-20 7:00,420,420.0
2016-04-20 8:00,330,330.0
2016-04-20 9:00,350,350.0
2016-04-20 10:00,350,350.0
2016-04-20 11:00,390,390.0
2016-04-20 12:00,250,250.0
2016-04-20 13:00,310,310.0
2016-04-20 14:00,350,350.0
2016-04-20 15:00,1050,1052.96875
2016-04-20 16:00,460,460.078125
2016-04-20 17:00,420,420.0
2016-04-20 18:00,1380,1383.515625
